ID,control_1_6wks_6wks_flush_1_exudate_organic,control_1_6wks_6wks_flush_2_exudate_organic,control_1_15wks_15wks_flush_1_exudate_organic,control_1_15wks_15wks_flush_2_exudate_organic,control_2_6wks_6wks_flush_1_exudate_organic,control_2_6wks_6wks_flush_2_exudate_organic,control_2_15wks_15wks_flush_1_exudate_organic,control_2_15wks_15wks_flush_2_exudate_organic,jm0034dot001_6wks_flush_1_exudate_organic,jm0034dot001_6wks_flush_2_exudate_organic,jm0034dot001_15wks_flush_1_exudate_organic,jm0034dot001_15wks_flush_2_exudate_organic,jm0062dot001_6wks_flush_1_exudate_organic,jm0062dot001_6wks_flush_2_exudate_organic,jm0062dot001_15wks_flush_1_exudate_organic,jm0062dot001_15wks_flush_2_exudate_organic,jpn_2011_004_15wks_flush_1_exudate_organic,jpn_2011_004_15wks_flush_2_exudate_organic,jpn_2011_023_15wks_flush_1_exudate_organic,jpn_2011_023_15wks_flush_2_exudate_organic,jy025_15wks_flush_1_exudate_organic,jy025_15wks_flush_2_exudate_organic,jy027_15wks_flush_1_exudate_organic,jy027_15wks_flush_2_exudate_organic,kms062_15wks_flush_1_exudate_organic,kms062_15wks_flush_2_exudate_organic,kms113_6wks_flush_1_exudate_organic,kms113_6wks_flush_2_exudate_organic,kms113_15wks_flush_1_exudate_organic,kms113_15wks_flush_2_exudate_organic,pi417947_6wks_flush_1_exudate_organic,pi417947_6wks_flush_2_exudate_organic,pi417947_15wks_flush_1_exudate_organic,pi417947_15wks_flush_2_exudate_organic,pms_165_6wks_flush_1_exudate_organic,pms_165_6wks_flush_2_exudate_organic,pms_165_15wks_flush_1_exudate_organic,pms_165_15wks_flush_2_exudate_organic,pms_182_6wks_flush_1_exudate_organic,pms_182_6wks_flush_2_exudate_organic,pms_182_15wks_flush_1_exudate_organic,pms_182_15wks_flush_2_exudate_organic,pms_546_6wks_flush_1_exudate_organic,pms_546_6wks_flush_2_exudate_organic,pms_546_15wks_flush_1_exudate_organic,pms_546_15wks_flush_2_exudate_organic,ui10_00009_15wks_flush_1_exudate_organic,ui10_00009_15wks_flush_2_exudate_organic,ui11_00002_6wks_flush_1_exudate_organic,ui11_00002_6wks_flush_2_exudate_organic,ui11_00002_15wks_flush_1_exudate_organic,ui11_00002_15wks_flush_2_exudate_organic,ui14_00019_6wks_flush_1_exudate_organic,ui14_00019_6wks_flush_2_exudate_organic,ui14_00019_15wks_flush_1_exudate_organic,ui14_00019_15wks_flush_2_exudate_organic,ui25_00001_6wks_flush_1_exudate_organic,ui25_00001_6wks_flush_2_exudate_organic,ui25_00001_15wks_flush_1_exudate_organic,ui25_00001_15wks_flush_2_exudate_organic
1,24.028328666686402,23.955541133632526,23.733159988679652,24.306287668039282,23.897915083401607,24.267510122955724,23.74956031980074,24.369178862048653,22.90913077598518,23.203328040246173,23.25065718690729,23.671844699119568,23.67620390953926,23.49000208295304,23.374431547939963,23.459840272833986,22.87487412798395,24.74987959716455,24.124950387858604,23.997110356876235,23.843299075638075,24.179494991634307,22.82964959252279,22.77511701284185,23.569197333069443,24.674414382743862,23.610644254430902,23.528783263424117,23.21937921402801,23.195011981181707,21.384351492650914,20.837539439587626,20.602300212345593,21.034103517824246,24.084932535312994,24.071435434297573,23.430230598688986,23.809132758714576,23.04501568892352,22.395059753263485,21.85637934824934,23.546690734463755,24.31042157151543,24.206913030143074,22.77166387801032,23.412381807481236,22.185787610448113,21.623870800149582,23.441661722130178,24.071106702892358,24.588312125811463,24.42182347112323,22.744684781632717,23.378313263349547,23.09759103455937,23.544140207780092,24.473958908780105,24.21842678680017,23.905069049691523,24.447451990617733
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.57370575492927,NA,21.739057643417226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.186242349589588,20.6216152181438,NA,NA,20.68946925900117,NA,19.236120661590558,NA,20.53081480071672,NA,20.48879820459292,NA,NA,NA,NA,NA,21.43290397683986,18.21261935699491,26.244210071657875,24.093101742006592,23.24916116520866,NA,19.704217577520282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,24.913531788168545,28.30333595599442,28.2351558222287,28.530992961689503,27.256646420924863,26.106018428852167,25.86830055319678,29.47204727970124,25.138029026946153,28.568828520871314,28.129508066698264,25.941083331821062,26.06128171772757,25.996354840682514,28.375548602006674,29.015901337491684,24.99740285094737,24.677704265780907,24.98976740859671,25.432379834189163,25.112236486873428,25.20077890197116,25.853432896787353,25.744543967470506,25.373986279491763,24.863777545066732,28.95010043637489,29.368010608552442,28.440969104727824,28.7414925045433,25.711489011965508,25.70806438122702,26.44621104129259,26.52988897738987,26.07644192794733,25.166039062910237,25.409872436336595,25.1975670210582,26.557100962551843,26.233929151267855,25.213414952491707,26.048264849503614,25.01247479988869,25.929504229000766,25.080825718011887,25.253924760838693,25.03219597503006,24.96024860985449,25.073834262269056,25.557866947899427,25.62461292512783,29.02262964079169,25.84014965975382,25.55778862286273,25.698988715104296,26.584274249758,25.560825880185742,28.24310919076125,26.04121539504839,26.339116420557968
4,23.382293038563283,23.031428020187775,22.765107454312357,23.720755658778263,25.223178404508385,22.840733092377082,22.94679896152127,23.80179940651457,23.691223912131154,23.528741051291345,23.644945582618035,23.665356899525985,24.294595536584332,25.421584244730223,25.52083101323215,23.983883354764856,23.249702083743763,21.568046231293255,23.535355737137767,23.080159818682382,23.187815200189732,25.300059705444113,24.805450736895477,25.09219642568003,23.312878699280745,23.30944652720371,23.9761475464045,23.91365238319062,23.68176802025039,23.04534395151827,24.742847737428047,23.05474584866925,21.72344107209765,24.921972426875246,21.65948253054737,23.227195841720015,21.566374523198416,24.01174835970958,22.942077381307563,22.48991941141733,23.076156958331755,25.084963636190377,23.243002329572025,22.749021766450756,22.895131955813543,23.131848280953676,23.370547998978324,23.458244306071663,21.884108115473325,24.887705495442916,25.31711058829515,23.819487930520626,23.174770721395152,25.16328645168583,23.194912300294593,25.444990092314033,23.24328182080622,23.978661737361115,23.669642039053972,23.749040167059146
5,28.693624422747945,28.80915269117267,28.731484354423063,28.965418071162553,29.105907424362155,28.925628657789275,28.74924215529511,28.93048481871287,28.568022155845146,28.767157156508485,28.621325192958327,28.760782413225492,28.70168785117166,28.665682927966046,28.14987186209074,28.556224802689858,28.70281367742262,28.67876237146389,28.592204552129527,28.527475070904718,28.59489623770678,28.746165207376645,28.56683331040262,28.8823610877357,28.71740649829391,28.754617700491977,28.95483762344687,28.794002225347775,28.604270943670056,28.759487424412757,28.771962789797758,29.23239611273968,28.903883794057737,28.9671890647459,28.89979443576254,29.162534172095693,28.61550691404867,28.767822888732464,28.980593942413623,29.224462761115458,28.79388024580648,28.883948138921816,28.73857898426879,28.901658264263112,28.681255957336965,28.790268409928842,28.650033525650635,28.708292675033515,28.812658536389012,28.88550686640917,28.795091239981883,28.82337701318353,29.07339302912517,29.099164103552063,28.774433045718766,29.046782609790267,28.657434307266247,28.835454050406327,28.56345478146895,28.76429220521411
6,27.194989832304923,NA,NA,NA,NA,NA,26.92613384049611,26.705258563415875,27.193724941741216,NA,NA,NA,27.078777452385147,27.092814492529097,NA,NA,NA,NA,NA,27.241027056828404,NA,27.18115916625572,26.92084207016547,NA,NA,NA,NA,27.183468216600847,NA,NA,NA,NA,27.314883674717194,NA,NA,NA,NA,NA,27.21538395468786,NA,27.104099700257617,NA,NA,27.073503687987618,NA,NA,27.014466897737986,NA,NA,24.63126168051897,24.487342896664316,NA,27.076065519010694,NA,27.05518499434064,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,24.43549653648642,NA,NA,NA,NA,NA,25.802537121771813,23.63979930520083,NA,NA,NA,NA,NA,NA,NA,21.56381296061261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.885847656757708,NA,NA,NA,NA,NA,NA,NA,27.279876930278117,26.07669848490279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,23.134458742941543,22.809411911746206,25.873909323369478,23.140192700406917,23.32244898169552,19.7218242374442,24.46794418859974,23.633836648836134,24.82201463550657,23.89443067029353,24.11615036343627,21.76097270512267,24.01455866430338,23.375828808505673,24.823093526921273,23.326193547323406,23.03501361004277,19.916874790478847,23.4887330581447,22.54277311851161,24.196493114896896,22.351860189179327,22.293218325634875,24.994932939811758,23.590887420218483,20.0258370146403,23.365959178696407,22.72902139394082,23.84952325032735,23.033734704151044,24.017366686188048,20.027047148933242,23.797608185233077,23.217771615272262,23.33780916415546,23.165736372655886,24.088507278341602,22.87987509513633,19.8337483673786,22.90037476677498,23.769174468668766,20.040311056129493,24.246845628118287,19.519001216990777,26.864106725161268,24.485758711209865,23.504707195118304,19.852292798897704,24.48928980470778,23.353517131868408,20.32399158362292,19.64950457165877,24.192115504973142,21.99099119202085,26.553714432295408,24.5484957737559,24.21934803387977,23.178073462416496,23.98640756634127,20.502822738063017
9,NA,NA,NA,NA,NA,NA,15.952012244542974,NA,24.812285790433258,22.674975826916288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.051702000097617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,25.366395282799797,25.509523634291057,25.754557883074376,25.8070367588749,25.211361457998205,25.500362416653932,25.501143134245726,26.12331297141224,25.999547332138384,26.074688198573284,25.746894401369772,25.752773691724958,NA,25.90024500003562,25.77394639119643,26.283312410103303,26.182119036300687,NA,25.643592389950186,NA,25.269045834223267,26.67281596891961,NA,NA,25.270182623997407,25.63999397441507,25.62302739612591,25.834987080988142,25.656061039839848,26.242057744665463,NA,26.75877100851561,24.552231007801385,NA,25.07131942180697,25.30173085639053,24.937429222905195,25.15517640253968,25.152131015047622,25.259737113106738,25.106952761490316,25.1151823013274,25.19717861214446,25.161606089897514,25.089212788692112,25.08750026297583,26.455302545061553,25.897161183488745,25.562393714722074,25.3072119049464,25.26010284646016,25.53009209524958,26.252075834404415,26.330171026174664,25.891597268988836,26.99243852276457,25.29962899180625,25.646393024635668,25.55295166462417,25.489676785037037
